"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\package-lock.json", "JSON", 19881, 0, 0, 0, 0, 0, 1, 19882
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\package.json", "JSON", 64, 0, 0, 0, 0, 0, 1, 65
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\public\index.html", "HTML", 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\App.css", "CSS", 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\App.js", "JavaScript", 0, 0, 0, 61, 0, 0, 5, 66
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\ApexChart.js", "JavaScript", 0, 0, 0, 113, 0, 2, 8, 123
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Autocomplete.js", "JavaScript", 0, 0, 0, 57, 0, 0, 3, 60
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Banner\Banner.js", "JavaScript", 0, 0, 0, 44, 0, 7, 9, 60
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Banner\Carousel.js", "JavaScript", 0, 0, 0, 103, 0, 0, 20, 123
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\BuyCrypto.js", "JavaScript", 0, 0, 0, 475, 0, 2, 64, 541
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\CategorieTable.js", "JavaScript", 0, 0, 0, 353, 0, 15, 45, 413
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\CoinInfo.js", "JavaScript", 0, 0, 0, 112, 0, 0, 12, 124
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\CoinsTable.js", "JavaScript", 0, 0, 0, 219, 0, 10, 21, 250
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\ColorSchemeToggle.js", "JavaScript", 0, 0, 0, 54, 0, 0, 2, 56
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\CountrySelector.js", "JavaScript", 0, 0, 0, 474, 0, 1, 4, 479
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\Dashboardheader.js", "JavaScript", 0, 0, 0, 46, 0, 0, 2, 48
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\DropZone.js", "JavaScript", 0, 0, 0, 46, 0, 1, 2, 49
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\EditorToolbar.js", "JavaScript", 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\FileUpload.js", "JavaScript", 0, 0, 0, 72, 0, 0, 2, 74
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\MuiLogo.js", "JavaScript", 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\MyInfo.js", "JavaScript", 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\MyProfile.js", "JavaScript", 0, 0, 0, 275, 0, 2, 10, 287
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\OrderList.js", "JavaScript", 0, 0, 0, 200, 0, 1, 4, 205
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\OrderTable.js", "JavaScript", 0, 0, 0, 535, 0, 1, 8, 544
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Dashboard\Sidebar.js", "JavaScript", 0, 0, 0, 281, 0, 0, 8, 289
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\DataGrid\DataGrid.css", "CSS", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\DataGrid\DataGrid.js", "JavaScript", 0, 0, 0, 123, 0, 1, 24, 148
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Deposit.js", "JavaScript", 0, 0, 0, 161, 0, 0, 25, 186
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Footer.js", "JavaScript", 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\FormLayout.js", "JavaScript", 0, 0, 0, 20, 0, 0, 7, 27
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Header.js", "JavaScript", 0, 0, 0, 163, 0, 0, 17, 180
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\LoginForm.js", "JavaScript", 0, 0, 0, 111, 0, 1, 10, 122
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Navlink.js", "JavaScript", 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\PasswordResetForm.js", "JavaScript", 0, 0, 0, 107, 0, 0, 8, 115
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\PasswordResetRequestForm.js", "JavaScript", 0, 0, 0, 101, 0, 0, 11, 112
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\RegisterForm\RegisterForm.css", "CSS", 0, 0, 0, 0, 38, 0, 7, 45
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\RegisterForm\RegisterForm.js", "JavaScript", 0, 0, 0, 223, 0, 7, 41, 271
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\SelectButton.js", "JavaScript", 0, 0, 0, 33, 0, 1, 5, 39
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\SelectWallet.js", "JavaScript", 0, 0, 0, 60, 0, 0, 9, 69
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\StyledTabs.js", "JavaScript", 0, 0, 0, 72, 0, 0, 11, 83
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\TransactionData.js", "JavaScript", 0, 0, 0, 177, 0, 1, 17, 195
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\UserDisplay.js", "JavaScript", 0, 0, 0, 34, 0, 0, 8, 42
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\Withdrawal.js", "JavaScript", 0, 0, 0, 147, 0, 0, 15, 162
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\useScript.js", "JavaScript", 0, 0, 0, 62, 0, 19, 17, 98
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Components\utils.js", "JavaScript", 0, 0, 0, 24, 0, 0, 2, 26
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Context\AuthContext.js", "JavaScript", 0, 0, 0, 95, 0, 4, 20, 119
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Context\CryptoContext.js", "JavaScript", 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Context\ErrorBoundary.js", "JavaScript", 0, 0, 0, 19, 0, 0, 8, 27
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Context\UserContext.js", "JavaScript", 0, 0, 0, 66, 0, 5, 11, 82
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Buy.js", "JavaScript", 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Categorie.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\CoinPage.js", "JavaScript", 0, 0, 0, 149, 0, 1, 10, 160
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\DashBoardInfo.js", "JavaScript", 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Dashboard.js", "JavaScript", 0, 0, 0, 98, 0, 0, 3, 101
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Homemap.js", "JavaScript", 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Homepage.js", "JavaScript", 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Login.js", "JavaScript", 0, 0, 0, 36, 0, 0, 5, 41
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\ProfileDashBoard.js", "JavaScript", 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\ResetPassword.js", "JavaScript", 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\Pages\Transaction.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\config\api.js", "JavaScript", 0, 0, 0, 11, 0, 0, 8, 19
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\config\data.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 18
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\frontend\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 15
"Total", "-", 19970, 38, 20, 5943, 68, 105, 623, 26767